id,name,constituency,state,party,criminal_cases,total_assets,liabilities,source_url
kandhamal-sukanta-kumar-panigrahi,Sukanta Kumar Panigrahi,Kandhamal,Odisha,BJP,4,7071617,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7157
kallakurichi-malaiyarasan-d,Malaiyarasan D,Kallakurichi,Tamil Nadu,DMK,4,8716980,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=133
azamgarh-dharmendra-yadav,Dharmendra Yadav,Azamgarh,Uttar Pradesh,SP,4,135032793,34245511,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8128
dhaurahra-anand-bhadauriya,Anand Bhadauriya,Dhaurahra,Uttar Pradesh,SP,4,99723807,960867,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5215
ranaghat-sc-jagannath-sarkar,Jagannath Sarkar,Ranaghat (SC),West Bengal,BJP,4,22328968,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5202
thrissur-suresh-gopi,Suresh Gopi,Thrissur,Kerala,BJP,4,185815323,12916425,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2125
satara-shrimant-chh-udayanraje-pratapsinhamaharaj-bhonsle,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Satara,Maharashtra,BJP,4,2231233939,24463842,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4320
araria-pradeep-kumar-singh,Pradeep Kumar Singh,Araria,Bihar,BJP,4,16059806,1679230,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3627
aurangabad-bhumare-sandipanrao-asaram,Bhumare Sandipanrao Asaram,Aurangabad,Maharashtra,Shiv Sena,4,103071866,24587200,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5323
kozhikode-m-k-raghavan,M. K. Raghavan,Kozhikode,Kerala,INC,4,24936775,12600000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1855
bhopal-alok-sharma,Alok Sharma,Bhopal,Madhya Pradesh,BJP,4,88625237,13024310,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3941
bhongir-chamala-kiran-kumar-reddy,Chamala Kiran Kumar Reddy,Bhongir,Telangana,INC,3,287211468,7348373,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5299
